team_id,team_name,region_league,team_url
44wiLnI5,Glentoran,NORTHERN IRELAND - NIFL Premiership,https://www.flashscore.com/team/larne/44wiLnI5/
ruTxaWrd,Ayr,SCOTLAND - Championship,https://www.flashscore.com/team/ayr/ruTxaWrd/
ULK83EjM,St Johnstone,SCOTLAND - Championship,https://www.flashscore.com/team/st-johnstone/ULK83EjM/
biWWzDD9,Flint Mountain,WALES - Cymru North,https://www.flashscore.com/team/flint-mountain/biWWzDD9/
Es9411nk,Mold Alexandra,WALES - Cymru North,https://www.flashscore.com/team/mold-alexandra/Es9411nk/
nNNpcUSL,Real Sociedad,SPAIN - LaLiga,https://www.flashscore.com/team/girona/nNNpcUSL/
jNvak2f3,Girona,SPAIN - LaLiga,https://www.flashscore.com/team/real-sociedad/jNvak2f3/
MeKPSerA,West Brom,ENGLAND - Championship,https://www.flashscore.com/team/sheffield-utd/MeKPSerA/
CCBWpzjj,Sheffield Utd,ENGLAND - Championship,https://www.flashscore.com/team/west-brom/CCBWpzjj/
6yx58ded,PSG W,FRANCE - Premiere Ligue Women,https://www.flashscore.com/team/montpellier/6yx58ded/
8U7ZUNF2,Montpellier W,FRANCE - Premiere Ligue Women,https://www.flashscore.com/team/psg/8U7ZUNF2/
69Ioq0e8,Mons Calpe,GIBRALTAR - National League,https://www.flashscore.com/team/mons-calpe/69Ioq0e8/
Gh9HoULa,St Josephs,GIBRALTAR - National League,https://www.flashscore.com/team/st-josephs/Gh9HoULa/
hWUCnRM1,Hibernians,MALTA - Premier League - First stage - Play Out,https://www.flashscore.com/team/hibernians/hWUCnRM1/
I5Y7y9fg,Tarxien,MALTA - Premier League - First stage - Play Out,https://www.flashscore.com/team/tarxien/I5Y7y9fg/
t4p0iC41,Torreense,PORTUGAL - Liga Portugal 2,https://www.flashscore.com/team/feirense/t4p0iC41/
